name,version,type,purl,license
@babel/generator,7.29.7,library,pkg:npm/%40babel/generator@7.29.7,MIT
jsesc,3.1.0,library,pkg:npm/jsesc@3.1.0,MIT
@babel/traverse,7.29.7,library,pkg:npm/%40babel/traverse@7.29.7,MIT
@babel/code-frame,7.29.7,library,pkg:npm/%40babel/code-frame@7.29.7,MIT
js-tokens,4.0.0,library,pkg:npm/js-tokens@4.0.0,MIT
@babel/helper-globals,7.29.7,library,pkg:npm/%40babel/helper-globals@7.29.7,MIT
@babel/template,7.29.7,library,pkg:npm/%40babel/template@7.29.7,MIT
@roberts_lando/vfs,0.3.3,library,pkg:npm/%40roberts_lando/vfs@0.3.3,MIT
@yao-pkg/pkg-fetch,3.6.3,library,pkg:npm/%40yao-pkg/pkg-fetch@3.6.3,MIT
https-proxy-agent,5.0.1,library,pkg:npm/https-proxy-agent@5.0.1,MIT
agent-base,6.0.2,library,pkg:npm/agent-base@6.0.2,MIT
node-fetch,2.7.0,library,pkg:npm/node-fetch@2.7.0,MIT
whatwg-url,5.0.0,library,pkg:npm/whatwg-url@5.0.0,MIT
tr46,0.0.3,library,pkg:npm/tr46@0.0.3,MIT
webidl-conversions,3.0.1,library,pkg:npm/webidl-conversions@3.0.1,BSD-2-Clause
progress,2.0.3,library,pkg:npm/progress@2.0.3,MIT
tar-fs,3.1.2,library,pkg:npm/tar-fs@3.1.2,MIT
pump,3.0.3,library,pkg:npm/pump@3.0.3,MIT
end-of-stream,1.4.5,library,pkg:npm/end-of-stream@1.4.5,MIT
tar-stream,3.2.0,library,pkg:npm/tar-stream@3.2.0,MIT
b4a,1.8.1,library,pkg:npm/b4a@1.8.1,Apache-2.0
bare-fs,4.7.1,library,pkg:npm/bare-fs@4.7.1,Apache-2.0
bare-events,2.8.3,library,pkg:npm/bare-events@2.8.3,Apache-2.0
bare-path,3.0.0,library,pkg:npm/bare-path@3.0.0,Apache-2.0
bare-os,3.9.1,library,pkg:npm/bare-os@3.9.1,Apache-2.0
bare-stream,2.13.1,library,pkg:npm/bare-stream@2.13.1,Apache-2.0
streamx,2.26.0,library,pkg:npm/streamx@2.26.0,MIT
events-universal,1.0.1,library,pkg:npm/events-universal@1.0.1,Apache-2.0
fast-fifo,1.3.2,library,pkg:npm/fast-fifo@1.3.2,MIT
text-decoder,1.2.7,library,pkg:npm/text-decoder@1.2.7,Apache-2.0
teex,1.0.1,library,pkg:npm/teex@1.0.1,MIT
bare-url,2.4.3,library,pkg:npm/bare-url@2.4.3,Apache-2.0
yargs,16.2.0,library,pkg:npm/yargs@16.2.0,MIT
cliui,7.0.4,library,pkg:npm/cliui@7.0.4,ISC
string-width,4.2.3,library,pkg:npm/string-width@4.2.3,MIT
emoji-regex,8.0.0,library,pkg:npm/emoji-regex@8.0.0,MIT
is-fullwidth-code-point,3.0.0,library,pkg:npm/is-fullwidth-code-point@3.0.0,MIT
wrap-ansi,7.0.0,library,pkg:npm/wrap-ansi@7.0.0,MIT
escalade,3.2.0,library,pkg:npm/escalade@3.2.0,MIT
get-caller-file,2.0.5,library,pkg:npm/get-caller-file@2.0.5,ISC
require-directory,2.1.1,library,pkg:npm/require-directory@2.1.1,MIT
y18n,5.0.8,library,pkg:npm/y18n@5.0.8,ISC
yargs-parser,20.2.9,library,pkg:npm/yargs-parser@20.2.9,ISC
esbuild,0.27.7,library,pkg:npm/esbuild@0.27.7,MIT
@esbuild/aix-ppc64,0.27.7,library,pkg:npm/%40esbuild/aix-ppc64@0.27.7,MIT
@esbuild/android-arm,0.27.7,library,pkg:npm/%40esbuild/android-arm@0.27.7,MIT
@esbuild/android-arm64,0.27.7,library,pkg:npm/%40esbuild/android-arm64@0.27.7,MIT
@esbuild/android-x64,0.27.7,library,pkg:npm/%40esbuild/android-x64@0.27.7,MIT
@esbuild/darwin-arm64,0.27.7,library,pkg:npm/%40esbuild/darwin-arm64@0.27.7,MIT
@esbuild/darwin-x64,0.27.7,library,pkg:npm/%40esbuild/darwin-x64@0.27.7,MIT
@esbuild/freebsd-arm64,0.27.7,library,pkg:npm/%40esbuild/freebsd-arm64@0.27.7,MIT
@esbuild/freebsd-x64,0.27.7,library,pkg:npm/%40esbuild/freebsd-x64@0.27.7,MIT
@esbuild/linux-arm,0.27.7,library,pkg:npm/%40esbuild/linux-arm@0.27.7,MIT
@esbuild/linux-arm64,0.27.7,library,pkg:npm/%40esbuild/linux-arm64@0.27.7,MIT
@esbuild/linux-ia32,0.27.7,library,pkg:npm/%40esbuild/linux-ia32@0.27.7,MIT
@esbuild/linux-loong64,0.27.7,library,pkg:npm/%40esbuild/linux-loong64@0.27.7,MIT
@esbuild/linux-mips64el,0.27.7,library,pkg:npm/%40esbuild/linux-mips64el@0.27.7,MIT
@esbuild/linux-ppc64,0.27.7,library,pkg:npm/%40esbuild/linux-ppc64@0.27.7,MIT
@esbuild/linux-riscv64,0.27.7,library,pkg:npm/%40esbuild/linux-riscv64@0.27.7,MIT
@esbuild/linux-s390x,0.27.7,library,pkg:npm/%40esbuild/linux-s390x@0.27.7,MIT
@esbuild/linux-x64,0.27.7,library,pkg:npm/%40esbuild/linux-x64@0.27.7,MIT
@esbuild/netbsd-arm64,0.27.7,library,pkg:npm/%40esbuild/netbsd-arm64@0.27.7,MIT
